System,st_teff,st_teff_uerr,st_teff_lerr,Pflag,pl_projobliq,pl_projobliq_uerr,pl_projobliq_lerr,st_psi,st_psi_uerr,st_psi_lerr,Author_string,Ephemeris_reference,pl_letter,st_name,tic_id,pl_ratdor,pl_ratdor_uerr,pl_ratdor_lerr,pl_bmassj,pl_bmassj_uerr,pl_bmassj_lerr,pl_orbeccen,pl_orbeccen_uerr,pl_orbeccen_lerr,st_mass,st_mass_uerr,st_mass_lerr,st_radius,st_radius_uerr,st_radius_lerr,st_mratio,st_mratio_uerr,st_mratio_lerr,Binary,Ref_link,controversial,pl_projobliqabs,pl_projobliqabs_uerr,pl_projobliqabs_lerr
55_Cnc_e,5172,18,18,n,72.4,12.7,11.5,-999.0,-999.0,-999.0,Bourrier_&amp;_H&eacute;brard_(2014),https://ui.adsabs.harvard.edu/abs/2014A+A...569A..65B/abstract,e,55 Cnc,TIC 332064670,3.52,0.01,0.01,0.02513923,0.00100683,0.00103829,0.05,0.03,0.03,0.905,0.015,0.015,0.943,0.01,0.01,2.6455385424888186e-05,1.059542225730071e-06,1.0926493028150488e-06,1,[Bourrier_&amp;_H&eacute;brard_(2014)](https://ui.adsabs.harvard.edu/link_gateway/2014A+A...569A..65B/abstract),0,72.4,12.7,11.5
55_Cnc_e,5172,18,18,y,10.0,17.0,20.0,23.0,14.0,12.0,Zhao_et_al._(2023),https://ui.adsabs.harvard.edu/abs/2023NatAs...7..198Z/abstract,e,55 Cnc,TIC 332064670,3.52,0.01,0.01,0.02513923,0.00100683,0.00103829,0.05,0.03,0.03,0.905,0.015,0.015,0.943,0.01,0.01,2.6455385424888186e-05,1.059542225730071e-06,1.0926493028150488e-06,1,[Zhao_et_al._(2023)](https://ui.adsabs.harvard.edu/link_gateway/2023NatAs...7..198Z/abstract),0,10.0,17.0,20.0
pi_Men_c,5998,62,62,y,-24.0,4.1,4.1,26.9,5.8,4.7,Hozdic_et_al._(2021),https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.2893K/abstract,c,pi Men,TIC 261136679,12.5,0.3,0.3,0.01352931,0.00220245,0.00220245,0.0,,,1.07,0.04,0.04,1.17,0.02,0.02,1.204210947930574e-05,1.9603471295060076e-06,1.9603471295060076e-06,0,[Hozdic_et_al._(2021)](https://ui.adsabs.harvard.edu/link_gateway/2021MNRAS.502.2893K/abstract),0,24.0,4.1,4.1
AU_Mic_b,3540,120,110,y,-4.7,6.8,6.4,-999.0,-999.0,-999.0,Hirano_et_al._(2020),https://ui.adsabs.harvard.edu/abs/2020ApJ...899L..13H/abstract,b,AU Mic,TIC 441420236,18.79,0.5,0.59,0.0633046,0.00493977,0.00541173,0.00577,0.00101,0.00101,0.51,0.028,0.027,0.744,0.023,0.021,0.0001182158730158,9.224593837535012e-06,1.010593837535014e-05,0,[Hirano_et_al._(2020)](https://ui.adsabs.harvard.edu/link_gateway/2020ApJ...899L..13H/abstract),0,4.699999999999989,6.4,6.8
AU_Mic_b,3540,120,110,n,-0.1,5.1,5.0,-999.0,-999.0,-999.0,Martioli_et_al._(2021),https://ui.adsabs.harvard.edu/abs/2021A+A...649A.177M/abstract,b,AU Mic,TIC 441420236,18.79,0.5,0.59,0.0633046,0.00493977,0.00541173,0.00577,0.00101,0.00101,0.51,0.028,0.027,0.744,0.023,0.021,0.0001182158730158,9.224593837535012e-06,1.010593837535014e-05,0,[Martioli_et_al._(2021)](https://ui.adsabs.harvard.edu/link_gateway/2021A+A...649A.177M/abstract),0,0.10000000000002274,5.0,5.1
AU_Mic_b,3540,120,110,n,-3.0,10.4,10.3,-999.0,-999.0,-999.0,Palle_et_al._(2020),https://ui.adsabs.harvard.edu/abs/2020A+A...643A..25P/abstract,b,AU Mic,TIC 441420236,18.79,0.5,0.59,0.0633046,0.00493977,0.00541173,0.00577,0.00101,0.00101,0.51,0.028,0.027,0.744,0.023,0.021,0.0001182158730158,9.224593837535012e-06,1.010593837535014e-05,0,[Palle_et_al._(2020)](https://ui.adsabs.harvard.edu/link_gateway/2020A+A...643A..25P/abstract),0,3.0,10.3,10.4
AU_Mic_b,3540,120,110,n,5.0,16.0,15.0,-999.0,-999.0,-999.0,Addison_et_al._(2021),https://ui.adsabs.harvard.edu/abs/2021AJ....162..137A/abstract,b,AU Mic,TIC 441420236,18.79,0.5,0.59,0.0633046,0.00493977,0.00541173,0.00577,0.00101,0.00101,0.51,0.028,0.027,0.744,0.023,0.021,0.0001182158730158,9.224593837535012e-06,1.010593837535014e-05,0,[Addison_et_al._(2021)](https://ui.adsabs.harvard.edu/link_gateway/2021AJ....162..137A/abstract),0,5.0,16.0,15.0
AU_Mic_c,3540,120,110,y,68.0,32.0,49.0,-999.0,-999.0,-999.0,Yu_et_al._(2025),https://ui.adsabs.harvard.edu/abs/2025MNRAS.536.2046Y/abstract,c,AU Mic,TIC 441420236,32.05,0.86,1.0,0.03020498,0.00651295,0.00726807,0.00338,0.00164,0.00164,0.51,0.028,0.027,0.744,0.023,0.021,5.640519140989729e-05,1.2162371615312791e-05,1.3572492997198876e-05,0,[Yu_et_al._(2025)](https://ui.adsabs.harvard.edu/link_gateway/2025MNRAS.536.2046Y/abstract),0,68.0,32.0,49.0
CoRoT-01,5950,150,150,y,77.0,11.0,11.0,-999.0,-999.0,-999.0,Pont_et_al._(2010),https://ui.adsabs.harvard.edu/abs/2010MNRAS.402L...1P/abstract,b,CoRoT-01,TIC 36352297,4.92,0.08,0.08,1.03,0.12,0.12,0.0,,,0.95,0.15,0.15,1.11,0.05,0.05,0.001032581453634,0.0001203007518796,0.0001203007518796,0,[Pont_et_al._(2010)](https://ui.adsabs.harvard.edu/link_gateway/2010MNRAS.402L...1P/abstract),1,77.0,11.0,11.0
CoRoT-02,5598,50,50,y,7.2,4.5,4.5,-999.0,-999.0,-999.0,Bouchy_et_al._(2008),https://ui.adsabs.harvard.edu/abs/2008A+A...482L..25B/abstract,b,CoRoT-02,TIC 391958006,6.7,0.03,0.03,3.47,0.22,0.22,0.0143,0.0077,0.0076,0.96,0.08,0.08,0.906,0.026,0.027,0.0034424603174603,0.0002182539682539,0.0002182539682539,1,[Bouchy_et_al._(2008)](https://ui.adsabs.harvard.edu/link_gateway/2008A+A...482L..25B/abstract),0,7.2,4.5,4.5
