name,vsini,ror,b,ref_link
name,pl_imppar,pl_ratror,st_vsin,https://exoplanetarchive.ipac.caltech.edu/overview/name
OGLE-2016-BLG-1227L b,,,,https://exoplanetarchive.ipac.caltech.edu/overview/OGLE-2016-BLG-1227L%20b
HAT-P-3 b,0.615,0.11091,0.46,https://exoplanetarchive.ipac.caltech.edu/overview/HAT-P-3%20b
Kepler-1065 b,0.4,0.036633,,https://exoplanetarchive.ipac.caltech.edu/overview/Kepler-1065%20b
HD 132406 b,,,,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20132406%20b
TOI-1260 c,0.75,0.0377,1.5,https://exoplanetarchive.ipac.caltech.edu/overview/TOI-1260%20c
HD 149143 b,,,3.9,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20149143%20b
HD 99492 b,,,0.41,https://exoplanetarchive.ipac.caltech.edu/overview/HD%2099492%20b
nu Oph c,,,3.21,https://exoplanetarchive.ipac.caltech.edu/overview/nu%20Oph%20c
75 Cet b,,,1.77,https://exoplanetarchive.ipac.caltech.edu/overview/75%20Cet%20b
gam Lib b,,,1.55,https://exoplanetarchive.ipac.caltech.edu/overview/gam%20Lib%20b
HD 113337 b,,,6.3,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20113337%20b
HD 28109 c,0.365,0.02632,7.7,https://exoplanetarchive.ipac.caltech.edu/overview/HD%2028109%20c
K2-350 b,0.41,0.0135,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-350%20b
K2-342 b,0.42,0.0155,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-342%20b
EPIC 212587672 b,0.43,0.0117,,https://exoplanetarchive.ipac.caltech.edu/overview/EPIC%20212587672%20b
K2-332 b,0.39,0.0707,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-332%20b
K2-340 b,0.39,0.0268,,https://exoplanetarchive.ipac.caltech.edu/overview/K2-340%20b
HR 8799 d,,,34.79,https://exoplanetarchive.ipac.caltech.edu/overview/HR%208799%20d
HIP 12961 b,,,,https://exoplanetarchive.ipac.caltech.edu/overview/HIP%2012961%20b
HD 11755 b,,,2.3,https://exoplanetarchive.ipac.caltech.edu/overview/HD%2011755%20b
HD 29985 b,,,,https://exoplanetarchive.ipac.caltech.edu/overview/HD%2029985%20b
HD 115954 b,,,5.3,https://exoplanetarchive.ipac.caltech.edu/overview/HD%20115954%20b
HIP 97233 b,,,2.2,https://exoplanetarchive.ipac.caltech.edu/overview/HIP%2097233%20b
HD 95872 b,,,,https://exoplanetarchive.ipac.caltech.edu/overview/HD%2095872%20b
OGLE-2015-BLG-0966L b,,,,https://exoplanetarchive.ipac.caltech.edu/overview/OGLE-2015-BLG-0966L%20b
Teegarden's Star c,,,2.0,https://exoplanetarchive.ipac.caltech.edu/overview/Teegarden's%20Star%20c
